x,y,delta_x,delta_y,new_field
573.000000,125.000000,-0.000916,-0.000504,2
560.000000,121.000000,-0.000916,-0.001404,0
452.000000,125.000000,0.000488,0.002846,0
477.000000,115.000000,-0.001160,0.004921,0
330.000000,126.000000,0.261536,0.016022,0
566.000000,125.000000,-0.000732,-0.001007,0
591.000000,115.000000,-0.000427,-0.000275,0
689.000000,121.000000,-0.000427,-0.000061,0
357.000000,124.000000,0.000671,-0.003609,0
551.000000,121.000000,-0.001038,-0.001427,0
474.000000,126.000000,0.001923,0.000656,0
363.000000,119.000000,-0.002533,-0.002762,0
276.000000,117.000000,0.003540,-0.002319,0
260.000000,124.000000,0.000000,0.000153,0
383.000000,118.000000,-0.001007,-0.001129,0
288.000000,118.000000,0.007507,-0.003609,0
523.000000,119.000000,0.001648,-0.007874,0
444.000000,118.000000,0.000275,0.002151,0
156.000000,121.000000,-0.001556,0.001152,0
590.000000,122.000000,-0.001709,0.000168,0
249.000000,121.000000,-0.007538,-0.001213,0
105.000000,114.000000,-0.002045,-0.014450,0
663.000000,113.000000,-0.002136,-0.006012,0
21.000000,16.000000,0.005598,0.001978,0
16.000000,21.000000,0.003923,0.006578,0
678.000000,391.000000,-0.007263,0.004486,0
135.000000,111.000000,-0.000763,0.004082,0
682.000000,387.000000,-0.013123,0.008545,0
190.000000,113.000000,0.002991,-0.010979,0
24.000000,9.000000,0.001566,0.010953,0
367.000000,113.000000,0.001007,0.004501,0
152.000000,129.000000,-0.003998,0.004425,0
646.000000,111.000000,-0.018738,0.017418,0
673.000000,398.000000,-0.002625,-0.000244,0
671.000000,405.000000,0.002441,-0.024109,0
8.000000,25.000000,-0.018236,0.016201,0
689.000000,385.000000,0.005188,0.000610,0
5.000000,115.000000,-0.081700,-0.117401,0
506.000000,128.000000,-0.011688,-0.011467,0
258.000000,112.000000,-0.015625,-0.001839,0
124.000000,112.000000,-0.002312,0.006950,0
98.000000,181.000000,-13.242882,0.252960,0
77.000000,176.000000,-11.871384,0.210037,0
413.000000,170.000000,-11.692322,0.012558,0
93.000000,114.000000,0.015121,-0.008041,0
461.000000,111.000000,0.010437,-0.011391,0
363.000000,110.000000,-0.000244,0.031013,0
468.000000,121.000000,0.001099,0.002525,0
236.000000,113.000000,-0.021255,-0.026871,0
532.000000,110.000000,0.001831,-0.004974,0
29.000000,122.000000,-0.045250,0.106781,0
554.000000,245.000000,0.173584,0.114410,0
509.000000,115.000000,-0.005585,-0.012589,0
397.000000,167.000000,-9.376892,0.152039,0
392.000000,168.000000,-8.966187,-0.018906,0
517.000000,119.000000,-0.000854,-0.003227,0
653.000000,166.000000,-12.025635,-0.113663,0
573.000000,125.000000,0.000244,-0.004356,2
560.000000,121.000000,-0.000061,0.004349,0
452.000000,125.000000,-0.005310,-0.002121,0
477.000000,115.000000,0.003204,0.006126,0
330.000000,126.000000,0.000641,-0.020020,0
566.000000,125.000000,0.000549,-0.001175,0
591.000000,115.000000,-0.019958,-0.000839,0
689.000000,121.000000,-0.000549,-0.013519,0
357.000000,124.000000,-0.002594,-0.009529,0
551.000000,121.000000,-0.003967,0.003151,0
474.000000,126.000000,-0.006317,0.002251,0
363.000000,119.000000,-0.000549,-0.008789,0
276.000000,117.000000,-0.002197,0.004295,0
260.000000,124.000000,0.001953,0.005104,0
383.000000,118.000000,-0.009735,0.017250,0
288.000000,118.000000,-0.002258,0.009850,0
523.000000,119.000000,-0.002502,0.006531,0
444.000000,118.000000,-0.007812,-0.000069,0
156.000000,121.000000,0.011841,-0.010773,0
590.000000,122.000000,-0.020203,-0.002159,0
249.000000,121.000000,0.011612,0.004883,0
105.000000,114.000000,0.005417,0.013756,0
663.000000,113.000000,-0.006470,0.009125,0
21.000000,16.000000,0.003157,-0.014114,0
16.000000,21.000000,-0.002533,-0.006725,0
679.000000,390.000000,-0.003418,0.002563,0
135.000000,111.000000,0.033234,0.001930,0
190.000000,113.000000,-0.005219,-0.003410,0
24.000000,9.000000,0.004929,-0.022218,0
686.000000,385.000000,0.000244,0.000488,0
152.000000,129.000000,0.012497,-0.010986,0
367.000000,113.000000,-0.001831,-0.002586,0
646.000000,111.000000,0.003418,-0.002930,0
670.000000,405.000000,-0.000488,-0.006836,0
8.000000,25.000000,-0.013464,0.001450,0
5.000000,115.000000,-0.000213,0.010727,0
506.000000,128.000000,0.008514,0.019196,0
258.000000,112.000000,0.004211,0.003990,0
124.000000,112.000000,0.025551,0.038177,0
692.000000,383.000000,0.000549,0.000244,0
93.000000,114.000000,-0.014923,0.000519,0
87.000000,182.000000,0.009315,-0.001541,0
461.000000,111.000000,-0.022339,0.040405,0
363.000000,110.000000,0.000305,-0.005989,0
688.000000,166.000000,-0.010193,-0.001297,0
468.000000,121.000000,-0.004852,0.006241,0
402.000000,172.000000,-0.003937,-0.010345,0
555.000000,245.000000,-0.008057,-0.007996,0
236.000000,113.000000,0.007645,0.004959,0
693.000000,169.000000,-0.009277,0.011215,0
531.000000,110.000000,-0.002380,0.005043,0
545.000000,167.000000,-0.011108,-0.004654,0
509.000000,114.000000,0.008453,0.007179,0
29.000000,123.000000,0.095165,0.029373,0
517.000000,119.000000,0.000427,0.001442,0
512.000000,122.000000,0.007568,0.006554,0
573.000000,125.000000,0.004272,0.000153,2
560.000000,121.000000,-0.001282,-0.003822,0
452.000000,125.000000,-0.001831,-0.001167,0
477.000000,115.000000,-0.002777,-0.007973,0
330.000000,126.000000,0.001221,0.015755,0
566.000000,125.000000,0.002014,-0.000961,0
689.000000,122.000000,0.002869,0.011581,0
591.000000,115.000000,0.020081,0.000496,0
357.000000,124.000000,0.001282,0.007072,0
551.000000,121.000000,0.001648,-0.001740,0
474.000000,126.000000,0.001617,-0.000092,0
363.000000,118.000000,0.001343,0.006279,0
276.000000,117.000000,0.003204,-0.011520,0
260.000000,124.000000,0.001373,0.001801,0
383.000000,118.000000,0.061035,-0.028023,0
288.000000,118.000000,-0.002869,-0.023422,0
523.000000,119.000000,0.002197,-0.001625,0
444.000000,118.000000,-0.001068,-0.001442,0
156.000000,121.000000,-0.015869,0.011696,0
587.000000,122.000000,0.020752,0.002541,0
249.000000,120.000000,0.000473,0.000565,0
105.000000,114.000000,-0.004112,-0.008972,0
663.000000,113.000000,-0.059937,-0.042267,0
21.000000,16.000000,-0.001125,0.008577,0
16.000000,21.000000,0.016399,-0.011024,0
679.000000,390.000000,0.015259,-0.013245,0
135.000000,111.000000,-0.029938,-0.004822,0
190.000000,113.000000,-0.009735,-0.004402,0
24.000000,9.000000,-0.002401,0.014647,0
686.000000,385.000000,-0.015625,0.010773,0
468.000000,112.000000,0.003479,-0.002213,0
152.000000,129.000000,-0.004395,0.011383,0
367.000000,113.000000,-0.000244,-0.004341,0
646.000000,111.000000,-0.002075,0.003113,0
670.000000,405.000000,0.000977,0.028961,0
8.000000,25.000000,0.008498,-0.008387,0
5.000000,115.000000,0.002748,-0.022423,0
258.000000,112.000000,-0.001343,-0.001930,0
506.000000,128.000000,-0.000061,-0.007843,0
124.000000,113.000000,-0.020058,-0.039040,0
87.000000,182.000000,-15.976280,0.403625,0
692.000000,383.000000,-0.033752,0.014648,0
554.000000,245.000000,0.120850,0.008942,0
461.000000,111.000000,0.018158,0.004791,0
93.000000,114.000000,0.016327,-0.002205,0
688.000000,166.000000,-13.383911,-0.156952,0
468.000000,121.000000,0.001801,-0.002258,0
402.000000,172.000000,-15.481720,0.263870,0
693.000000,169.000000,-13.361633,-0.138077,0
236.000000,113.000000,-0.008957,0.006691,0
363.000000,110.000000,-0.001678,-0.006256,0
532.000000,110.000000,0.002258,-0.003036,0
545.000000,167.000000,-14.026123,0.070557,0
29.000000,123.000000,-0.102161,0.002022,0
509.000000,114.000000,0.000763,-0.000748,0
513.000000,118.000000,0.000061,0.000435,0
550.000000,169.000000,-14.090576,0.013885,0
573.000000,125.000000,-0.000488,-0.000664,2
560.000000,121.000000,0.000000,0.000130,0
452.000000,125.000000,0.000427,-0.001465,0
477.000000,115.000000,-0.000153,0.000183,0
330.000000,126.000000,-0.272156,0.004364,0
566.000000,125.000000,-0.000244,-0.000511,0
591.000000,115.000000,-0.000488,0.000084,0
689.000000,122.000000,0.000183,-0.000046,0
357.000000,124.000000,-0.003387,-0.000130,0
551.000000,121.000000,-0.001038,0.000366,0
474.000000,126.000000,0.001343,0.000046,0
363.000000,118.000000,-0.003326,-0.000359,0
276.000000,117.000000,0.002014,-0.000771,0
260.000000,124.000000,-0.000549,0.000610,0
383.000000,118.000000,-0.002594,0.002731,0
288.000000,118.000000,0.008606,-0.000229,0
523.000000,119.000000,0.000488,0.000221,0
444.000000,118.000000,-0.000885,-0.002083,0
156.000000,121.000000,0.000168,0.000130,0
587.000000,123.000000,-0.001221,-0.001106,0
249.000000,120.000000,-0.000015,-0.000015,0
105.000000,114.000000,0.000519,0.000099,0
663.000000,114.000000,0.000488,-0.000549,0
21.000000,16.000000,0.000057,0.000031,0
16.000000,21.000000,-0.009993,0.011644,0
679.000000,390.000000,-0.000610,0.000885,0
190.000000,113.000000,0.007217,0.003273,0
135.000000,111.000000,-0.001053,-0.000832,0
12.000000,24.000000,-0.013292,0.011641,0
24.000000,9.000000,0.000010,0.000387,0
468.000000,112.000000,-0.000122,-0.000626,0
686.000000,385.000000,0.001099,-0.000458,0
152.000000,129.000000,0.000504,0.000061,0
673.000000,397.000000,-0.001831,0.001587,0
367.000000,113.000000,0.000183,-0.000053,0
397.000000,171.000000,-23.959259,0.168549,0
646.000000,111.000000,0.000977,0.000130,0
670.000000,405.000000,0.000732,-0.005737,0
392.000000,170.000000,-16.233856,0.155106,0
5.000000,115.000000,0.000109,-0.000099,0
4.000000,27.000000,-0.006116,0.008923,0
258.000000,112.000000,0.001740,0.007530,0
506.000000,128.000000,0.006348,0.011261,0
124.000000,112.000000,-0.000206,-0.000710,0
555.000000,245.000000,0.013062,0.014526,0
93.000000,114.000000,-0.000229,-0.000839,0
461.000000,111.000000,-0.004974,-0.024239,0
383.000000,171.000000,-15.834381,-0.073059,0
468.000000,121.000000,-0.000275,0.000175,0
692.000000,382.000000,0.003906,-0.001007,0
65.000000,182.000000,-14.355885,0.286209,0
236.000000,113.000000,-0.001373,-0.001183,0
29.000000,123.000000,0.082645,-0.004471,0
363.000000,110.000000,0.000885,-0.002342,0
70.000000,182.000000,-14.420567,0.329468,0
531.000000,110.000000,-0.000061,0.000320,0
532.000000,167.000000,-12.241455,0.054367,0
675.000000,166.000000,-11.084656,-0.092270,0
509.000000,114.000000,-0.000122,0.000404,0
48.000000,178.000000,-13.858253,0.315765,0
679.000000,169.000000,-11.142883,-0.100586,0
513.000000,118.000000,0.000000,0.000450,0
573.000000,125.000000,0.000427,0.000443,2
560.000000,121.000000,0.000183,0.000534,0
452.000000,125.000000,-0.163330,0.004837,0
477.000000,115.000000,0.000153,-0.000137,0
330.000000,126.000000,-0.000031,0.000130,0
566.000000,125.000000,0.000183,0.000732,0
591.000000,115.000000,0.000244,-0.000023,0
689.000000,122.000000,-0.000610,-0.000290,0
357.000000,124.000000,-0.001434,0.000374,0
551.000000,121.000000,0.000000,0.000259,0
474.000000,126.000000,-0.014893,0.002075,0
363.000000,118.000000,-0.000824,0.000244,0
276.000000,117.000000,-0.001862,0.000809,0
260.000000,124.000000,0.000366,0.000404,0
384.000000,118.000000,-0.000153,-0.000092,0
288.000000,118.000000,-0.008179,-0.000145,0
523.000000,119.000000,0.000183,-0.000137,0
444.000000,118.000000,-0.163300,0.003387,0
156.000000,121.000000,-0.000320,-0.000038,0
587.000000,123.000000,-0.000122,0.000351,0
249.000000,120.000000,-0.000046,-0.000092,0
105.000000,114.000000,-0.000122,0.000450,0
663.000000,114.000000,-0.000183,0.000061,0
21.000000,16.000000,-0.000038,-0.000059,0
16.000000,21.000000,0.009615,-0.011490,0
679.000000,390.000000,0.001892,0.000031,0
190.000000,113.000000,-0.012787,0.001518,0
135.000000,111.000000,0.001312,-0.000114,0
24.000000,9.000000,0.000044,-0.000232,0
468.000000,112.000000,-0.020721,0.000160,0
686.000000,385.000000,-0.000305,0.000275,0
152.000000,129.000000,-0.001343,0.000153,0
673.000000,397.000000,0.010193,-0.006714,0
367.000000,113.000000,-0.001038,-0.000931,0
670.000000,405.000000,0.010925,-0.005127,0
646.000000,111.000000,0.001038,0.000465,0
8.000000,23.000000,0.008331,-0.008905,0
5.000000,115.000000,0.000838,-0.000511,0
