x,y,delta_x,delta_y,new_field
20.000000,178.000000,-0.010628,-0.022156,1
109.000000,8.000000,-29.709366,7.459199,0
13.000000,173.000000,-0.018499,-0.023819,0
118.000000,13.000000,-26.190292,9.638035,0
135.000000,7.000000,-5.873169,11.444675,0
8.000000,170.000000,0.010098,-0.012909,0
65.000000,9.000000,-25.160278,9.263567,0
55.000000,7.000000,-32.989979,0.346521,0
27.000000,188.000000,-0.007324,-0.013168,0
78.000000,7.000000,-18.768169,7.123121,0
127.000000,10.000000,-9.524788,12.722462,0
74.000000,10.000000,-20.864391,8.252014,0
142.000000,7.000000,-5.125015,11.355602,0
60.000000,3.000000,-26.636879,8.207781,0
93.000000,1.000000,-17.939415,7.565914,0
101.000000,1.000000,-35.122894,7.479537,0
105.000000,16.000000,-31.688522,7.519278,0
128.000000,93.000000,-0.001457,-0.003944,0
85.000000,9.000000,-18.295746,6.848742,0
122.000000,2.000000,-15.212524,15.114458,0
103.000000,92.000000,0.050819,-0.010101,0
108.000000,93.000000,0.118042,-0.008186,0
91.000000,8.000000,-17.208069,7.394445,0
56.000000,19.000000,-24.739496,8.515467,0
53.000000,100.000000,0.112724,0.031746,0
110.000000,101.000000,-0.157837,-0.000374,0
128.000000,72.000000,0.024811,0.019341,0
48.000000,100.000000,0.140385,0.015862,0
118.000000,93.000000,0.051544,-0.002396,0
97.000000,48.000000,3.347008,-0.028275,0
31.000000,19.000000,-31.025414,13.011612,0
89.000000,127.000000,-0.234520,0.029755,0
37.000000,99.000000,0.043892,0.009804,0
148.000000,13.000000,-5.324417,11.445395,0
95.000000,39.000000,7.660095,4.408817,0
72.000000,171.000000,0.155571,-0.320343,0
16.000000,108.000000,-0.019812,0.001808,0
114.000000,106.000000,-0.650070,0.014297,0
50.000000,109.000000,0.153488,0.253189,0
103.000000,58.000000,0.121346,-0.081120,0
106.000000,47.000000,3.479904,-0.728077,0
97.000000,90.000000,0.019188,-0.010246,0
85.000000,120.000000,0.038055,0.184692,0
146.000000,178.000000,0.174454,0.277039,0
42.000000,100.000000,0.066078,0.009964,0
132.000000,30.000000,-4.090965,8.682823,0
124.000000,85.000000,-0.040977,-0.108742,0
31.000000,108.000000,-0.135319,0.006065,0
18.000000,176.000000,0.010689,0.034607,1
23.000000,182.000000,-0.002451,0.018906,0
30.000000,4.000000,-20.099533,5.278285,0
13.000000,173.000000,0.003125,0.028671,0
8.000000,171.000000,-0.006338,0.027191,0
79.000000,9.000000,75.454803,7.542271,0
24.000000,4.000000,-19.351589,7.003780,0
20.000000,7.000000,-18.301186,9.374809,0
27.000000,188.000000,-0.002712,0.020355,0
74.000000,6.000000,-0.426758,18.366615,0
54.000000,19.000000,0.420780,10.819677,0
130.000000,19.000000,-82.057144,12.984270,0
26.000000,10.000000,-19.838278,7.047194,0
79.000000,4.000000,74.028748,7.826590,0
31.000000,11.000000,-19.558598,7.303228,0
45.000000,22.000000,-8.756001,13.985405,0
124.000000,21.000000,7.787170,5.223101,0
95.000000,20.000000,-55.307610,10.691431,0
146.000000,12.000000,-2.685501,9.041985,0
137.000000,13.000000,1.199966,8.137447,0
133.000000,7.000000,-15.892059,14.942913,0
62.000000,12.000000,-6.815250,13.503731,0
90.000000,12.000000,-29.032295,8.238201,0
118.000000,25.000000,2.557365,6.876862,0
129.000000,2.000000,-130.867828,162.186066,0
136.000000,2.000000,-115.484528,181.699585,0
35.000000,17.000000,-19.233149,7.605015,0
145.000000,4.000000,-15.167969,14.189901,0
101.000000,18.000000,-28.521057,8.120815,0
126.000000,6.000000,-13.154564,14.261341,0
103.000000,10.000000,-46.475960,1.131836,0
86.000000,7.000000,4.166512,18.056053,0
100.000000,4.000000,-84.439865,0.023278,0
108.000000,27.000000,-7.726936,8.576294,0
11.000000,2.000000,-21.268469,19.357891,0
48.000000,9.000000,-2.780930,10.591812,0
95.000000,4.000000,-83.216202,-0.163799,0
47.000000,4.000000,0.204823,9.158259,0
38.000000,3.000000,-19.052408,6.864273,0
120.000000,7.000000,-128.147720,118.525711,0
114.000000,18.000000,-6.770767,8.864407,0
128.000000,95.000000,0.088074,-0.000572,0
103.000000,92.000000,0.008896,0.011833,0
108.000000,93.000000,-0.015030,0.010963,0
54.000000,100.000000,0.233551,0.018410,0
66.000000,6.000000,-11.975964,14.138256,0
112.000000,106.000000,0.051147,0.003906,0
145.000000,21.000000,-31.905411,18.545048,0
109.000000,100.000000,0.019173,0.008904,0
17.000000,17.000000,-13.474543,13.899286,0
128.000000,72.000000,-0.755692,0.554955,0
132.000000,34.000000,-5.406799,8.603706,0
104.000000,30.000000,-30.713272,7.690102,0
117.000000,93.000000,-0.016731,-0.000282,0
22.000000,23.000000,-4.301460,18.251923,0
60.000000,153.000000,-6.873783,0.534790,0
37.000000,99.000000,0.079315,-0.001251,0
16.000000,108.000000,-0.668152,0.012314,0
45.000000,100.000000,0.043205,0.008636,0
72.000000,168.000000,1.380562,13.319687,0
50.000000,105.000000,-0.036182,0.015144,0
142.000000,179.000000,-0.211853,3.682327,0
97.000000,90.000000,0.056694,0.010666,0
33.000000,116.000000,-2.332172,0.679382,0
85.000000,120.000000,-0.396843,0.011162,0
122.000000,93.000000,0.044846,-0.000626,0
55.000000,146.000000,-7.550808,0.220016,0
63.000000,28.000000,-13.390305,16.987221,0
112.000000,86.000000,-0.125839,0.002357,0
101.000000,49.000000,-3.176178,0.360821,0
127.000000,84.000000,-0.041298,0.063095,0
20.000000,178.000000,0.004623,-0.003174,1
146.000000,21.000000,-0.006622,0.009125,0
13.000000,173.000000,0.011350,0.002060,0
23.000000,182.000000,-0.002335,-0.010727,0
27.000000,35.000000,0.016169,0.006554,0
30.000000,31.000000,0.010006,0.007235,0
8.000000,170.000000,0.010215,0.001526,0
16.000000,12.000000,0.000723,0.007871,0
40.000000,36.000000,-0.008049,0.003883,0
78.000000,27.000000,-0.002480,0.001047,0
93.000000,7.000000,-0.000137,0.000855,0
43.000000,5.000000,0.000614,0.000096,0
101.000000,28.000000,-0.022583,0.010605,0
16.000000,19.000000,0.009706,0.017279,0
27.000000,5.000000,-0.011082,-0.002200,0
128.000000,28.000000,-0.011589,0.008701,0
115.000000,33.000000,-0.025253,0.007889,0
57.000000,26.000000,0.010303,-0.005095,0
5.000000,4.000000,0.000553,0.001076,0
104.000000,8.000000,0.001305,-0.002465,0
86.000000,25.000000,-0.011642,0.019537,0
127.000000,15.000000,-0.045013,0.019869,0
122.000000,27.000000,-0.003380,0.005796,0
68.000000,29.000000,0.011017,-0.000193,0
80.000000,18.000000,-0.000984,0.000479,0
104.000000,13.000000,0.002464,-0.002318,0
64.000000,2.000000,0.002151,0.005379,0
72.000000,12.000000,0.009079,0.001841,0
51.000000,3.000000,0.001667,0.000623,0
70.000000,1.000000,0.001221,0.001560,0
137.000000,26.000000,-0.002884,0.006418,0
137.000000,21.000000,-0.003952,0.006680,0
89.000000,2.000000,0.000031,0.000220,0
65.000000,33.000000,0.029472,0.004730,0
59.000000,2.000000,0.000648,0.002497,0
145.000000,8.000000,0.031296,-0.009602,0
43.000000,25.000000,-0.013107,0.006739,0
50.000000,17.000000,-0.004669,0.000961,0
31.000000,15.000000,-0.006935,0.002206,0
59.000000,11.000000,0.002342,0.001931,0
67.000000,10.000000,0.002876,0.000614,0
63.000000,23.000000,0.015526,0.001076,0
14.000000,35.000000,0.041496,0.022095,0
125.000000,5.000000,-0.064926,0.015793,0
5.000000,23.000000,-0.003947,-0.003483,0
130.000000,9.000000,-0.033508,0.028467,0
110.000000,19.000000,0.003136,-0.011978,0
98.000000,21.000000,0.001320,-0.000858,0
82.000000,37.000000,0.019592,0.012970,0
10.000000,25.000000,0.023717,0.029240,0
1.000000,15.000000,-0.003355,-0.004028,0
47.000000,12.000000,0.000408,0.001026,0
34.000000,24.000000,0.003349,0.008207,0
41.000000,17.000000,-0.002380,0.000103,0
69.000000,20.000000,0.004456,0.001347,0
96.000000,15.000000,0.000092,0.000141,0
130.000000,96.000000,0.008347,0.002136,0
90.000000,16.000000,-0.000336,0.000223,0
108.000000,93.000000,-0.011452,-0.000031,0
103.000000,92.000000,-0.024544,-0.000214,0
136.000000,1.000000,-0.009659,0.011570,0
113.000000,107.000000,-0.081215,0.002159,0
23.000000,17.000000,0.008797,0.012056,0
109.000000,100.000000,-0.043518,0.001053,0
49.000000,102.000000,0.114922,0.000877,0
117.000000,93.000000,0.011681,0.000618,0
112.000000,90.000000,-0.006973,-0.000389,0
37.000000,99.000000,0.101704,-0.000877,0
119.000000,41.000000,-0.025230,0.010056,0
68.000000,42.000000,0.122559,0.020912,0
54.000000,105.000000,0.142422,-0.000435,0
55.000000,100.000000,0.088165,-0.000984,0
62.000000,99.000000,0.143490,0.000717,0
31.000000,108.000000,-0.021406,0.001274,0
126.000000,44.000000,-0.032501,0.011177,0
93.000000,40.000000,-0.007179,0.015873,0
97.000000,90.000000,-0.105431,0.000572,0
135.000000,37.000000,0.030792,-0.006298,0
116.000000,45.000000,-0.074150,0.015739,0
119.000000,154.000000,0.000000,0.000000,0
20.000000,178.000000,0.032360,-0.005142,1
146.000000,21.000000,-17.133896,6.615671,0
23.000000,182.000000,0.046576,0.010712,0
13.000000,173.000000,-0.003532,-0.032761,0
27.000000,35.000000,-9.100023,9.877125,0
30.000000,31.000000,-6.578783,9.600533,0
8.000000,170.000000,-0.032098,-0.040573,0
27.000000,188.000000,0.040834,0.006729,0
16.000000,12.000000,-14.132696,15.831770,0
40.000000,36.000000,-0.136612,10.841331,0
93.000000,7.000000,-31.688919,-2.693098,0
78.000000,27.000000,-78.188530,6.379692,0
43.000000,5.000000,-25.108177,19.563896,0
101.000000,28.000000,-9.015518,6.828487,0
16.000000,19.000000,-17.282167,13.825783,0
27.000000,5.000000,-15.162368,109.456184,0
115.000000,33.000000,-15.320244,6.630211,0
57.000000,26.000000,13.746552,-10.117685,0
104.000000,8.000000,-56.457127,2.517603,0
68.000000,29.000000,-40.303513,16.067947,0
122.000000,29.000000,-24.199463,9.198849,0
104.000000,13.000000,-5.952621,-1.329618,0
140.000000,25.000000,-19.971573,6.977156,0
70.000000,1.000000,-58.711197,22.121120,0
117.000000,23.000000,-0.108795,-0.775066,0
89.000000,2.000000,23.380211,1.912289,0
137.000000,21.000000,14.634979,-0.427540,0
145.000000,8.000000,-7.562164,3.077666,0
43.000000,25.000000,26.879555,-18.701057,0
122.000000,13.000000,-132.398880,153.359375,0
31.000000,15.000000,-17.492664,15.000927,0
63.000000,23.000000,15.155571,3.184530,0
110.000000,19.000000,-7.514404,-1.274105,0
130.000000,9.000000,-9.671989,2.453922,0
98.000000,21.000000,-6.902664,-1.341362,0
82.000000,37.000000,-85.511978,6.000591,0
47.000000,12.000000,-20.334488,20.412727,0
121.000000,35.000000,-22.041626,8.421684,0
42.000000,17.000000,-12.102444,18.406082,0
37.000000,17.000000,-10.369362,17.264488,0
68.000000,20.000000,-32.941261,-0.777237,0
130.000000,96.000000,-0.021820,-0.001099,0
96.000000,15.000000,-76.994774,14.308779,0
103.000000,92.000000,-0.009331,0.000572,0
131.000000,3.000000,-11.566788,4.971170,0
108.000000,93.000000,0.010788,-0.000885,0
90.000000,16.000000,-91.873802,5.047129,0
51.000000,102.000000,16.533707,0.017319,0
136.000000,1.000000,-6.377869,2.768265,0
112.000000,106.000000,0.000221,-0.000443,0
109.000000,100.000000,-0.012970,0.000427,0
37.000000,99.000000,15.854149,0.028160,0
117.000000,93.000000,0.033188,-0.003067,0
70.000000,42.000000,23.786850,8.694336,0
92.000000,37.000000,-5.467667,6.469208,0
97.000000,90.000000,-0.040451,-0.003906,0
126.000000,44.000000,-4.279182,4.919052,0
121.000000,44.000000,-7.730888,5.591022,0
97.000000,41.000000,-4.568604,6.893902,0
116.000000,45.000000,3.606766,0.011730,0
44.000000,149.000000,7.817463,-15.194946,0
119.000000,154.000000,0.463081,-11.879669,0
143.000000,32.000000,1.092865,1.794479,0
116.000000,149.000000,-0.468491,-17.050751,0
35.000000,116.000000,16.333508,-0.241241,0
20.000000,178.000000,-0.030031,0.004623,1
16.000000,175.000000,-0.017419,0.016724,0
23.000000,182.000000,-0.034569,-0.000381,0
8.000000,170.000000,-0.003657,0.024567,0
26.000000,188.000000,-0.031273,0.005539,0
25.000000,45.000000,56.792198,5.261105,0
134.000000,26.000000,16.041275,-2.006203,0
90.000000,22.000000,27.489594,-0.864935,0
35.000000,46.000000,49.891212,6.122681,0
25.000000,13.000000,66.500153,1.121357,0
121.000000,29.000000,11.653305,0.523598,0
141.000000,18.000000,17.816574,0.758778,0
33.000000,22.000000,67.444031,-0.451981,0
43.000000,47.000000,11.448132,4.100864,0
146.000000,21.000000,-17.173248,8.723196,0
1.000000,38.000000,18.832020,1.097610,0
42.000000,8.000000,31.022491,16.578667,0
129.000000,27.000000,14.952881,-2.197041,0
84.000000,8.000000,30.604721,-8.918993,0
9.000000,43.000000,18.001417,1.693901,0
85.000000,43.000000,-5.347908,13.116272,0
108.000000,20.000000,-11.554482,11.530815,0
21.000000,37.000000,57.449631,4.290047,0
101.000000,37.000000,-11.147186,12.552513,0
79.000000,39.000000,-6.319939,12.009140,0
80.000000,29.000000,-12.801300,8.341038,0
51.000000,6.000000,34.331741,14.229261,0
112.000000,32.000000,-2.201828,6.359558,0
101.000000,31.000000,-11.955643,12.305779,0
76.000000,33.000000,-9.271957,9.302872,0
126.000000,15.000000,-19.878136,11.333000,0
103.000000,22.000000,-14.210548,14.113274,0
129.000000,22.000000,14.721786,-2.363228,0
16.000000,48.000000,17.428143,3.299057,0
90.000000,3.000000,23.134140,-10.689777,0
13.000000,22.000000,29.358257,1.059643,0
59.000000,35.000000,10.831787,8.667473,0
95.000000,17.000000,-3.279129,6.863457,0
42.000000,22.000000,86.234177,-4.567186,0
12.000000,28.000000,25.835510,1.125261,0
54.000000,35.000000,19.798592,7.598957,0
114.000000,23.000000,-13.109276,10.788406,0
4.000000,16.000000,29.127522,-0.709230,0
64.000000,35.000000,4.624771,10.526943,0
92.000000,33.000000,-8.643715,10.409664,0
73.000000,22.000000,13.139992,-23.405697,0
8.000000,13.000000,28.495163,-2.170667,0
106.000000,26.000000,-12.300133,11.666191,0
31.000000,9.000000,76.577461,-11.511948,0
37.000000,29.000000,46.596863,4.292027,0
132.000000,3.000000,3.951874,0.958748,0
5.000000,31.000000,26.604809,1.536377,0
89.000000,28.000000,-6.282860,4.272911,0
56.000000,5.000000,36.102585,11.891859,0
62.000000,20.000000,72.802063,-7.181087,0
134.000000,9.000000,5.300217,-1.503766,0
126.000000,2.000000,-45.677521,19.585014,0
11.000000,5.000000,56.635887,15.760822,0
54.000000,15.000000,40.410255,8.078306,0
51.000000,42.000000,15.521423,3.856552,0
67.000000,23.000000,57.798805,7.695124,0
68.000000,6.000000,63.034225,-5.250433,0
115.000000,16.000000,-11.513824,10.508657,0
67.000000,16.000000,-25.933266,-2.773206,0
5.000000,5.000000,27.991905,-1.600472,0
29.000000,32.000000,46.936951,6.123367,0
16.000000,18.000000,62.924019,7.118034,0
117.000000,11.000000,-11.410759,7.606209,0
59.000000,42.000000,9.037376,7.782963,0
130.000000,96.000000,-0.001495,-0.000084,0
45.000000,17.000000,32.133469,16.649029,0
96.000000,2.000000,-51.637291,16.288120,0
65.000000,102.000000,-15.510128,-0.050400,0
103.000000,92.000000,0.000526,0.000061,0
108.000000,93.000000,0.004639,0.000259,0
16.000000,108.000000,-0.048531,0.019669,0
59.000000,27.000000,6.278702,13.052280,0
120.000000,6.000000,-42.566422,16.667944,0
117.000000,93.000000,0.004005,-0.000328,0
139.000000,2.000000,-0.611771,-12.654631,0
40.000000,58.000000,14.330948,3.460762,0
116.000000,40.000000,26.005005,-5.211357,0
61.000000,99.000000,-16.085075,-0.049973,0
45.000000,59.000000,49.178230,8.073837,0
112.000000,106.000000,0.018677,-0.000397,0
109.000000,100.000000,-0.003571,-0.000092,0
69.000000,32.000000,-1.328514,10.970257,0
121.000000,38.000000,25.813156,-4.670040,0
115.000000,6.000000,-40.424446,17.519590,0
53.000000,22.000000,6.133240,16.434631,0
31.000000,104.000000,-10.739929,0.069130,0
55.000000,99.000000,-17.466930,-0.028481,0
64.000000,94.000000,-15.905025,-0.049286,0
68.000000,107.000000,-15.504860,-0.039764,0
79.000000,104.000000,-6.238785,-0.036591,0
36.000000,104.000000,-10.786156,0.051704,0
55.000000,130.000000,-20.302444,0.442047,0
43.000000,108.000000,-23.313030,0.440941,0
47.000000,112.000000,-16.531389,0.098679,0
147.000000,55.000000,-11.950714,-0.765530,0
126.000000,85.000000,0.010094,0.000465,0
25.000000,2.000000,32.864685,17.019985,0
35.000000,57.000000,52.324402,5.731804,0
141.000000,54.000000,-10.662003,-0.157398,0
95.000000,113.000000,-8.117485,0.119019,0
30.000000,98.000000,-9.889896,0.049507,0
45.000000,64.000000,17.461353,-2.106682,0
141.000000,60.000000,-9.082764,-0.655415,0
83.000000,109.000000,-6.621231,-0.003128,0
97.000000,90.000000,-0.003754,-0.000061,0
20.000000,178.000000,-0.002090,-0.015640,1
16.000000,175.000000,-0.014672,-0.031479,0
23.000000,182.000000,-0.004305,-0.019775,0
89.000000,50.000000,-9.541916,-20.099802,0
8.000000,170.000000,-0.013885,-0.025101,0
25.000000,188.000000,-0.002083,-0.013031,0
103.000000,23.000000,5.174416,-21.160589,0
147.000000,23.000000,-35.245720,1.844189,0
116.000000,23.000000,-0.559456,-14.949137,0
42.000000,45.000000,-44.999866,12.403557,0
126.000000,32.000000,7.489136,-13.087183,0
69.000000,48.000000,86.500137,-29.489906,0
121.000000,34.000000,7.288559,-13.334772,0
76.000000,58.000000,-85.572517,11.425087,0
85.000000,46.000000,-52.411446,3.679859,0
96.000000,46.000000,-9.388184,-17.171383,0
135.000000,28.000000,-24.358757,-3.444546,0
140.000000,3.000000,-16.596245,-5.468217,0
107.000000,28.000000,6.856468,-15.558249,0
4.000000,43.000000,104.432228,-18.750656,0
143.000000,20.000000,-14.969604,-3.731430,0
131.000000,22.000000,-20.078552,-3.929983,0
111.000000,32.000000,-53.951756,-9.121040,0
143.000000,26.000000,-61.838829,5.559502,0
103.000000,43.000000,-43.639179,-8.603672,0
17.000000,7.000000,-24.943832,22.418896,0
137.000000,15.000000,-11.936798,-4.877428,0
83.000000,19.000000,-26.856613,-13.314041,0
119.000000,16.000000,-18.178345,-1.160028,0
111.000000,38.000000,-44.809906,-6.961489,0
95.000000,8.000000,-69.874298,4.536578,0
147.000000,5.000000,-10.574127,-6.151167,0
126.000000,21.000000,20.262695,-14.772765,0
13.000000,45.000000,-5.305714,18.300213,0
57.000000,21.000000,43.549164,27.973110,0
130.000000,27.000000,-46.597115,-1.737446,0
89.000000,31.000000,-19.468201,-21.838015,0
96.000000,39.000000,-7.439262,-17.202003,0
88.000000,19.000000,-25.807659,-15.300643,0
10.000000,51.000000,98.711487,-18.646347,0
34.000000,54.000000,-43.786369,14.020004,0
83.000000,54.000000,-17.145966,-20.687347,0
83.000000,28.000000,-22.275005,-17.251629,0
113.000000,15.000000,39.557495,-22.479612,0
74.000000,25.000000,-70.722969,9.243065,0
23.000000,38.000000,131.013077,-24.291721,0
21.000000,29.000000,76.132812,-22.033524,0
82.000000,9.000000,-28.111919,-12.983509,0
88.000000,37.000000,-40.985535,-10.151114,0
73.000000,30.000000,-66.902847,7.543373,0
48.000000,37.000000,-41.419384,8.615971,0
