batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb,warning
16,2,27.955066204071045,384.4507751414944,1774.62109375,3569.953125,36664.90234375,26516.58984375,0.0,23.708984375,700.0,546.36474609375,
28,2,24.28648829460144,442.96061266961783,1815.63671875,4123.93359375,36544.24609375,26637.24609375,0.0,23.708984375,1212.0,939.8759765625,
32,2,23.830960869789124,450.81295893649406,1816.8046875,4333.4453125,36477.00390625,26704.48828125,0.0,23.333984375,1420.0,1071.25439453125,
48,2,22.673951387405396,474.0216059612952,1897.74609375,5051.73828125,36590.7109375,26590.78125,0.0,23.708984375,2056.0,1595.26904296875,
64,2,22.986052632331848,467.8517903654342,1898.5078125,5589.51953125,36941.68359375,26239.80859375,0.0,23.708984375,2592.0,2119.28369140625,
16,4,29.700640320777893,361.6086880758429,1915.40234375,3710.49609375,36796.74609375,26384.74609375,0.0,23.708984375,700.0,546.36474609375,
28,4,29.50331425666809,364.04768366469256,1947.515625,4255.64453125,36959.421875,26222.0703125,0.0,23.708984375,1212.0,939.8759765625,
32,4,29.554245233535767,363.40205974813625,1947.4921875,4464.02734375,36697.890625,26483.6015625,0.0,23.333984375,1420.0,1071.25439453125,
48,4,27.99139630794525,383.69161845992124,2011.59375,5165.49609375,36727.0703125,26454.421875,0.0,23.708984375,2056.0,1595.26904296875,
64,4,28.232160329818726,380.42845036843823,2011.57421875,5718.55859375,36595.1640625,26586.328125,0.0,23.708984375,2608.0,2119.28369140625,
16,6,35.80324375629425,300.0359446043023,2028.24609375,3823.53125,36636.29296875,26545.19921875,0.0,23.708984375,700.0,546.36474609375,
28,6,35.06548345088959,306.2840990642004,2060.3203125,4368.6640625,36545.77734375,26635.71484375,0.0,23.708984375,1212.0,939.8759765625,
32,6,35.191760182380676,305.18867392025845,2060.33984375,4577.0703125,36542.97265625,26638.51953125,0.0,23.333984375,1420.0,1071.25439453125,
48,6,33.99179124832153,315.95865136653555,2124.45703125,5278.55078125,37033.453125,26148.0390625,0.0,23.708984375,2056.0,1595.26904296875,
64,6,34.49484300613403,311.3526581599558,2123.5546875,5831.48828125,37272.79296875,25908.69921875,0.0,23.708984375,2608.0,2119.28369140625,
16,8,41.984387159347534,255.80937934527157,2140.24609375,3936.45703125,37337.46484375,25844.02734375,0.0,23.708984375,700.0,546.36474609375,
28,8,41.259395241737366,260.32460691988166,2172.265625,4481.51171875,36903.1953125,26278.296875,0.0,23.708984375,1212.0,939.8759765625,
32,8,41.89896476268768,256.3344556152439,2172.3203125,4689.97265625,36970.703125,26210.7890625,0.0,23.333984375,1420.0,1071.25439453125,
48,8,40.464325308799744,265.42327095502355,2236.34375,5391.38671875,37041.23046875,26140.26171875,0.0,23.708984375,2056.0,1595.26904296875,
64,8,40.081398487091064,267.954777931665,2236.41796875,5944.5234375,37070.26171875,26111.23046875,0.0,23.708984375,2608.0,2119.28369140625,
16,10,47.5886287689209,225.68458883710827,2252.9296875,4049.3359375,37096.2109375,26085.28125,0.0,23.708984375,700.0,546.36474609375,
28,10,47.917112588882446,224.1379560522937,2285.015625,4594.48828125,36796.1796875,26385.3125,0.0,23.708984375,1212.0,939.8759765625,
32,10,47.482911705970764,226.18665546611874,2285.078125,4802.95703125,36833.51953125,26347.97265625,0.0,23.333984375,1420.0,1071.25439453125,
48,10,46.7095992565155,229.94459489708646,2349.078125,5504.3046875,36971.0703125,26210.421875,0.0,23.708984375,2056.0,1595.26904296875,
64,10,46.3391717672348,231.77076441352378,2349.125,6057.4296875,36938.73828125,26242.75390625,0.0,23.708984375,2608.0,2119.28369140625,
16,12,53.980633020401,198.9688715383573,2365.7421875,4162.328125,36794.2265625,26387.265625,0.0,23.708984375,700.0,546.36474609375,
28,12,53.03844380378723,202.49473067907346,2397.81640625,4707.44140625,36775.96875,26405.5234375,0.0,23.708984375,1212.0,939.8759765625,
32,12,53.334401965141296,201.3711711305992,2397.78515625,4915.8359375,36735.2578125,26446.234375,0.0,23.333984375,1420.0,1071.25439453125,
48,12,52.103546380996704,206.12803421482096,2461.86328125,5617.26171875,36781.44140625,26400.05078125,0.0,23.708984375,2056.0,1595.26904296875,
64,12,52.18976581096649,205.7875050208761,2461.8828125,6170.3828125,36819.484375,26362.0078125,0.0,23.708984375,2608.0,2119.28369140625,
16,14,59.386475920677185,180.8492756966724,2478.70703125,4275.49609375,36835.140625,26346.3515625,0.0,23.708984375,700.0,546.36474609375,
28,14,58.92698562145233,182.26638306786407,2510.72265625,4820.57421875,36870.65234375,26310.83984375,0.0,23.708984375,1212.0,939.8759765625,
32,14,72.71345639228821,152.53474255053018,2510.70703125,5028.96484375,37035.36328125,26146.12890625,0.0,23.333984375,1420.0,1071.25439453125,
48,14,58.22549855709076,184.45577984894265,2574.82421875,5730.43359375,37189.86328125,25991.62890625,0.0,23.708984375,2056.0,1595.26904296875,
64,14,58.31622612476349,184.18883506425573,2574.7734375,6283.4609375,37025.078125,26156.4140625,0.0,23.708984375,2608.0,2119.28369140625,
