batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
20,2,151.8774483203888,282.87280616784346,1774.32421875,2942.921875,14946.0859375,25828.43359375,0.0,22.5908203125,68.0,1181.15185546875
22,2,167.77174878120422,256.0741025357489,1935.23046875,3212.43359375,15291.62890625,25482.890625,0.0,22.5908203125,186.0,1298.15576171875
24,2,168.25686192512512,255.335797354394,1935.765625,4561.0546875,15103.9609375,25670.55859375,0.0,22.5908203125,1758.0,1414.0341796875
26,2,172.43305802345276,249.1517606453207,1944.515625,3167.4765625,15138.109375,25636.41015625,0.0,22.5908203125,122.0,1530.1630859375
28,2,173.55767822265625,247.5373054073947,1945.1640625,4873.93359375,15183.546875,25590.97265625,0.0,22.5908203125,2060.0,1646.16650390625
32,2,170.5572633743286,251.89194027878858,1945.6953125,5159.046875,15171.9765625,25602.54296875,0.0,22.5908203125,2344.0,1877.173828125
48,2,167.17507457733154,256.98807138935484,2266.29296875,6625.85546875,15901.20703125,24873.3125,0.0,22.5908203125,3490.0,2805.203125
20,4,173.58897185325623,247.49268079263706,2331.0859375,4674.33984375,15579.6015625,25194.91796875,0.0,22.5908203125,1476.0,1181.15185546875
22,4,173.62322616577148,247.44385269618746,2459.1796875,4942.87109375,15931.75390625,24842.765625,0.0,22.5908203125,1616.0,1298.15576171875
24,4,170.45717692375183,252.03984235417425,2459.2421875,5085.140625,15771.359375,25003.16015625,0.0,22.5908203125,1758.0,1414.0341796875
26,4,174.0850567817688,246.78740837507215,2459.26171875,5231.4296875,15994.3515625,24780.16796875,0.0,22.5908203125,1904.0,1530.1630859375
28,4,174.06123685836792,246.8211807259407,2459.2734375,5387.7421875,15862.41796875,24912.1015625,0.0,22.5908203125,2060.0,1646.16650390625
32,4,175.97618222236633,244.13531113950708,2459.27734375,5672.296875,15862.56640625,24911.953125,0.0,22.5908203125,2344.0,1877.173828125
48,4,173.43794322013855,247.70819580966707,2715.296875,7075.80078125,16366.76953125,24407.75,0.0,22.5908203125,3490.0,2805.203125
