batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
28,2,151.21205687522888,284.1175557544969,1860.15625,3104.9609375,13938.29296875,26836.2265625,0.0,22.5908203125,136.0,1646.16650390625
30,2,161.50420475006104,266.0116500773876,1863.26171875,3039.02734375,13912.83984375,26861.6796875,0.0,22.5908203125,74.0,1762.17041015625
32,2,166.2694685459137,258.38778686019833,1880.40625,3173.05859375,13962.625,26811.89453125,0.0,22.5908203125,202.0,1877.173828125
36,2,164.86824893951416,260.5838314917849,1881.11328125,3127.85546875,13970.6328125,26803.88671875,0.0,22.5908203125,172.0,2111.05615234375
40,2,166.5544011592865,257.9457504633139,1881.90625,5667.67578125,14005.84375,26768.67578125,0.0,22.5908203125,2916.0,2341.1884765625
48,2,165.54232239723206,259.522757551445,2202.38671875,6562.37109375,14555.89453125,26218.625,0.0,22.5908203125,3490.0,2805.203125
28,4,168.86907744407654,254.4101066355828,2331.1953125,5258.875,14436.47265625,26338.046875,0.0,22.5908203125,2060.0,1646.16650390625
30,4,168.48985648155212,254.9827087347771,2331.2265625,5405.1640625,14638.859375,26135.66015625,0.0,22.5908203125,2206.0,1762.17041015625
32,4,168.88470220565796,254.3865692920095,2331.25390625,5543.05859375,14481.90625,26292.61328125,0.0,22.5908203125,2344.0,1877.173828125
36,4,168.01047706604004,255.7102434934036,2331.2578125,5829.99609375,14510.67578125,26263.84375,0.0,22.5908203125,2630.0,2111.0556640625
40,4,171.3841679096222,250.67659705099248,2331.35546875,6116.68359375,14511.33203125,26263.1875,0.0,22.5908203125,2916.0,2341.1884765625
48,4,168.3011918067932,255.2685428949286,2587.37109375,6948.30078125,14771.74609375,26002.7734375,0.0,22.5908203125,3490.0,2805.203125
