batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
32,4,161.97592663764954,265.2369453400858,1992.015625,3288.375,17032.46484375,23742.0546875,0.0,23.7158203125,206.0,1877.423828125
48,4,165.89182496070862,258.9759923985135,2576.17578125,3674.66015625,17358.25,23416.26953125,0.0,22.8408203125,58.0,2805.453125
64,4,169.65295815467834,253.2346059113811,2577.828125,8086.31640625,17447.5625,23326.95703125,0.0,23.7158203125,4636.0,3733.482421875
128,4,829.9285619258881,51.76590127264046,3927.36328125,5567.78125,19295.3046875,21479.21484375,0.0,22.8408203125,762.0,7445.6025390625
32,6,179.0176863670349,239.98746085856692,3862.28515625,7063.8359375,19204.61328125,21569.90625,0.0,23.7158203125,2332.0,1877.423828125
48,6,178.4620225429535,240.73469182867524,4118.296875,8500.640625,19713.73046875,21060.7890625,0.0,22.8408203125,3510.0,2805.453125
64,6,183.02950191497803,234.727186330633,3856.046875,9628.90625,19368.6484375,21405.87109375,0.0,23.7158203125,4636.0,3733.482421875
128,6,842.847776889801,50.97243082082319,5122.5234375,14773.01953125,18507.328125,22267.19140625,0.0,22.8408203125,9260.0,7445.6025390625
32,8,190.60552287101746,225.3974562377835,3459.26953125,7962.3671875,16868.0078125,23906.51171875,0.0,23.7158203125,2332.0,1877.423828125
48,8,186.45396614074707,230.41612302078684,3507.56640625,9335.56640625,16802.12109375,23972.3984375,0.0,22.8408203125,3510.0,2805.453125
64,8,182.0718789100647,235.961754539927,3513.2109375,10463.796875,16565.34375,24209.17578125,0.0,23.7158203125,4636.0,3733.482421875
128,8,818.9169268608093,52.4619758009987,4878.05078125,15607.6875,16850.51953125,23924.0,0.0,22.8408203125,9260.0,7445.6025390625
