batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb,warning
4,2,144.67689895629883,222.75535320490383,1715.34375,2880.05859375,12210.7109375,28563.80859375,0.0,23.2158203125,302.0,254.37255859375,
8,2,132.82170669237772,242.59740352020108,1755.41015625,3221.18359375,12262.671875,28511.84765625,0.0,23.8408203125,604.0,486.3798828125,
12,2,127.71250160535176,252.3023938350115,1835.484375,3604.8203125,12360.56640625,28413.953125,0.0,22.9658203125,902.0,717.51220703125,
16,2,125.77016568183899,256.2122969242558,1836.28125,3884.1796875,12424.46875,28350.05078125,0.0,23.8408203125,1184.0,950.39453125,
20,2,128.52617263793945,250.7104586158665,1836.87890625,4181.33203125,12379.1640625,28395.35546875,0.0,22.9658203125,1476.0,1181.52685546875,
28,2,124.11521410942078,259.65331327438037,1997.40625,4901.69921875,12541.2578125,28233.26171875,0.0,23.8408203125,2068.0,1646.54150390625,
32,2,125.11626140276591,257.6191213966186,1998.16796875,5187.8359375,12559.66015625,28214.859375,0.0,23.8408203125,2352.0,1877.548828125,
48,2,122.94615705808003,262.13455091697466,2318.49609375,6669.30078125,12885.8046875,27888.71484375,0.0,23.2158203125,3508.0,2805.578125,
64,2,122.87952470779419,262.31322284340797,2320.453125,7819.09765625,12887.84765625,27886.671875,0.0,23.8408203125,4656.0,3733.607421875,
4,4,152.30645394325256,211.56443204303847,2336.69140625,3472.4453125,12899.69140625,27874.828125,0.0,23.2158203125,302.0,254.37255859375,
8,4,137.8375776608785,233.77059502730677,2368.78515625,3806.171875,12927.28125,27847.23828125,0.0,23.8408203125,604.0,486.3798828125,
12,4,131.68483384450278,244.69046759746865,2432.7265625,4168.76171875,13006.23828125,27768.28125,0.0,22.9658203125,902.0,717.51220703125,
16,4,130.49445708592734,246.93037701356903,2432.8046875,4451.43359375,12998.17578125,27776.34375,0.0,23.8408203125,1184.0,950.39453125,
20,4,132.96785696347555,242.339951639652,2433.37890625,4750.6015625,13023.15234375,27751.3671875,0.0,23.2158203125,1482.0,1182.52685546875,
28,4,127.90249760945638,251.92724060214232,2561.4453125,5458.046875,13172.57421875,27601.9453125,0.0,23.8408203125,2060.0,1646.54150390625,
32,4,127.34264341990153,253.03720871667483,2561.51171875,5750.6875,13169.8046875,27604.71484375,0.0,23.8408203125,2352.0,1877.548828125,
48,4,127.6130998134613,252.50401040866163,2817.58984375,7173.5234375,13432.72265625,27341.796875,0.0,23.2158203125,3516.0,2805.578125,
64,4,126.89096037546794,253.93468002977065,2817.9375,8316.3203125,13427.9453125,27346.57421875,0.0,23.8408203125,4656.0,3733.607421875,
4,6,158.42871618270874,203.38680519246248,2834.4140625,3970.0859375,13485.8203125,27288.69921875,0.0,23.2158203125,302.0,254.37255859375,
8,6,144.25416843096414,223.37271438644223,2866.1796875,4304.8671875,13522.9375,27251.58203125,0.0,23.8408203125,604.0,486.3798828125,
12,6,137.73647260665894,233.9437242527964,2930.50390625,4667.890625,13600.1484375,27174.37109375,0.0,22.9658203125,902.0,717.51220703125,
16,6,136.19523445765176,236.59204005417396,2930.62890625,4950.56640625,13602.953125,27171.56640625,0.0,23.8408203125,1184.0,950.39453125,
20,6,138.87982058525085,232.0143664488181,2930.69140625,5249.2109375,13653.265625,27121.25390625,0.0,23.2158203125,1482.0,1182.52685546875,
28,6,134.26515261332193,239.98850360293295,3058.80078125,5956.65625,13778.1484375,26996.37109375,0.0,23.8408203125,2060.0,1646.54150390625,
32,6,133.87077927589417,240.69549260456085,3058.484375,6248.85546875,13777.72265625,26996.796875,0.0,23.8408203125,2352.0,1877.548828125,
48,6,133.22823826471964,241.85982789400603,3314.71484375,7671.76171875,14032.4453125,26742.07421875,0.0,23.2158203125,3516.0,2805.578125,
64,6,134.20520106951395,240.10190266168888,3314.77734375,8814.05078125,14057.01953125,26717.5,0.0,23.8408203125,4656.0,3733.607421875,
4,8,163.9411060810089,196.5463231072489,3331.48046875,4468.06640625,14084.24609375,26690.2734375,0.0,23.2158203125,302.0,254.37255859375,
8,8,149.57699394226074,215.4210106667305,3363.57421875,4803.28515625,14050.02734375,26724.4921875,0.0,23.8408203125,604.0,486.3798828125,
12,8,144.5727971394857,222.87868111410558,3427.9140625,5166.0625,14165.34765625,26609.171875,0.0,22.9658203125,902.0,717.51220703125,
16,8,142.29530135790506,226.44537199815443,3427.54296875,5448.234375,14187.44140625,26587.078125,0.0,23.8408203125,1184.0,950.39453125,
20,8,144.99320888519287,222.23218023783033,3427.85546875,5747.12890625,14194.0234375,26580.49609375,0.0,23.2158203125,1482.0,1182.52685546875,
28,8,140.60150440533957,229.17518649879727,3556.0234375,6454.578125,14325.4609375,26449.05859375,0.0,23.8408203125,2060.0,1646.54150390625,
32,8,140.3261342048645,229.62279402453578,3556.0859375,6747.2109375,14326.41796875,26448.1015625,0.0,23.8408203125,2352.0,1877.548828125,
48,8,140.50893823305765,229.32666632658368,3812.16015625,8170.0546875,14634.1484375,26140.37109375,0.0,23.2158203125,3516.0,2805.578125,
64,8,140.9401388168335,228.62339894686951,3812.33984375,9312.34375,14608.921875,26165.59765625,0.0,23.8408203125,4656.0,3733.607421875,
4,10,171.28803324699402,188.11698090871195,3828.83203125,4966.37109375,14657.8671875,26116.65234375,0.0,23.2158203125,302.0,254.37255859375,
8,10,157.27424820264181,204.87884525183412,3860.84765625,5301.0234375,14686.8671875,26087.65234375,0.0,23.8408203125,604.0,486.3798828125,
12,10,150.59751296043396,213.96211557401318,3925.17578125,5664.1171875,14788.83984375,25985.6796875,0.0,22.9658203125,902.0,717.51220703125,
16,10,148.9932198524475,216.26491701497946,3925.25390625,5946.7890625,14786.609375,25987.91015625,0.0,23.8408203125,1184.0,950.39453125,
20,10,151.69537711143494,212.4132138705389,3925.3203125,6245.4375,14791.2109375,25983.30859375,0.0,23.2158203125,1482.0,1182.52685546875,
28,10,147.21481355031332,218.8784551206295,4053.38671875,6952.87890625,14910.4609375,25864.05859375,0.0,23.8408203125,2060.0,1646.54150390625,
32,10,147.13954162597656,218.98946236506404,4053.44921875,7245.515625,14930.4375,25844.08203125,0.0,23.8408203125,2352.0,1877.548828125,
48,10,148.6105252901713,216.822744749619,4309.20703125,8668.046875,15202.82421875,25571.6953125,0.0,23.2158203125,3516.0,2805.578125,
64,10,147.6009397506714,218.30499453491996,4309.44140625,9810.39453125,15130.74609375,25643.7734375,0.0,23.8408203125,4656.0,3733.607421875,
4,12,177.9806989034017,181.04288967308517,4326.38671875,5465.0,14918.80859375,25855.7109375,0.0,23.2158203125,302.0,254.37255859375,
8,12,163.7504085699717,196.7778332384128,4358.3359375,5799.46484375,14949.0390625,25825.48046875,0.0,23.8408203125,604.0,486.3798828125,
12,12,158.11499873797098,203.78889822302892,4422.3984375,6162.23828125,15040.625,25733.89453125,0.0,22.9658203125,902.0,717.51220703125,
16,12,156.5829552014669,205.78407254735976,4422.5234375,6444.9140625,15037.41796875,25737.1015625,0.0,23.8408203125,1184.0,950.39453125,
20,12,159.11900432904562,202.5047946819841,4422.6015625,6743.75,15042.95703125,25731.5625,0.0,23.2158203125,1482.0,1182.52685546875,
28,12,154.8130484422048,208.13603834002288,4550.671875,7451.2578125,15189.71484375,25584.8046875,0.0,23.8408203125,2060.0,1646.54150390625,
32,12,154.43190868695578,208.64878149079001,4550.734375,7743.89453125,15196.546875,25577.97265625,0.0,23.8408203125,2352.0,1877.548828125,
48,12,155.79515290260315,206.82295030136217,4806.84765625,9166.73828125,15392.87109375,25381.6484375,0.0,23.2158203125,3516.0,2805.578125,
64,12,154.87755950291952,208.04938345052165,4635.94140625,10309.03125,15314.9921875,25459.52734375,0.0,23.8408203125,4656.0,3733.607421875,
4,14,185.06345709164938,174.1135163424693,4652.08203125,5962.2890625,15370.1796875,25404.33984375,0.0,23.2158203125,302.0,254.37255859375,
8,14,171.17697302500406,188.2398832971351,4684.15234375,6297.00390625,15411.1640625,25363.35546875,0.0,23.8408203125,604.0,486.3798828125,
12,14,165.14783430099487,195.11045829946423,4748.08203125,6659.58984375,15456.83203125,25317.6875,0.0,22.9658203125,902.0,717.51220703125,
16,14,163.5739779472351,196.98735110137594,4748.15234375,6942.265625,15471.20703125,25303.3125,0.0,23.8408203125,1184.0,950.39453125,
20,14,166.02933565775552,194.07464629350068,4748.21484375,7240.91015625,15466.71875,25307.80078125,0.0,23.2158203125,1482.0,1182.52685546875,
28,14,161.84995317459106,199.08598423273125,4876.27734375,7948.35546875,15620.734375,25153.78515625,0.0,23.8408203125,2060.0,1646.54150390625,
32,14,161.32757608095804,199.73388520599988,4876.33984375,8240.9921875,15545.3203125,25229.19921875,0.0,23.8408203125,2352.0,1877.548828125,
48,14,162.35769049326578,198.46349215022406,5119.97265625,9599.7109375,15788.15625,24986.36328125,0.0,23.2158203125,3516.0,2805.578125,
64,14,163.31120824813843,197.30644724081526,2565.8203125,10742.765625,12498.7109375,28275.80859375,0.0,23.8408203125,4656.0,3733.607421875,
4,16,192.039755264918,167.7882030122114,2666.71484375,6396.95703125,12715.30078125,28059.21875,0.0,23.2158203125,302.0,254.37255859375,
8,16,178.82828990618387,180.1842547620265,2870.828125,6731.484375,12771.67578125,28002.84375,0.0,23.8408203125,604.0,486.3798828125,
12,16,172.82047859827676,186.44939464999746,3139.984375,7094.2578125,12876.39453125,27898.125,0.0,22.9658203125,902.0,717.51220703125,
16,16,171.5355443159739,187.8444585101822,3206.73828125,7376.93359375,12976.84375,27797.67578125,0.0,23.8408203125,1184.0,950.39453125,
20,16,174.78501526514688,184.35466410562324,3273.7421875,7708.01953125,13450.640625,27323.87890625,0.0,23.2158203125,1482.0,1182.52685546875,
