batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
26,1,240.29591417312622,178.78789220297406,1796.05078125,3020.546875,14927.25390625,25847.265625,0.0,22.5908203125,122.0,1530.1630859375
27,1,255.44525790214539,168.18476237463628,1800.8515625,2974.08203125,14992.9375,25781.58203125,0.0,22.5908203125,96.0,1593.6650390625
28,1,244.73933959007263,175.54186454845967,1801.55859375,4733.8203125,15112.390625,25662.12890625,0.0,22.5908203125,2060.0,1646.16650390625
29,1,240.93713355064392,178.31207405383023,1818.02734375,3034.02734375,15021.62890625,25752.890625,0.0,22.5908203125,162.0,1709.4189453125
26,2,173.25593972206116,247.9684106006412,1882.6875,4657.828125,15087.5078125,25687.01171875,0.0,22.5908203125,1904.0,1530.1630859375
27,2,166.76617097854614,257.61819527251066,1883.015625,4750.51953125,15046.48046875,25728.0390625,0.0,22.5908203125,1996.0,1593.6650390625
28,2,172.83182954788208,248.57689762577917,1883.015625,4814.64453125,15133.2578125,25641.26171875,0.0,22.5908203125,2060.0,1646.16650390625
29,2,179.88522720336914,238.83006218976135,1883.015625,4892.79296875,15224.58984375,25549.9296875,0.0,22.5908203125,2138.0,1709.4189453125
26,3,172.93165040016174,248.43341227928175,1947.2109375,4722.4609375,15472.6328125,25301.88671875,0.0,22.5908203125,1904.0,1530.1630859375
27,3,168.96768403053284,254.26163734502433,1947.21875,4814.64453125,15374.1484375,25400.37109375,0.0,22.5908203125,1996.0,1593.6650390625
28,3,172.23919248580933,249.432195889676,1947.21875,4878.76953125,15351.390625,25423.12890625,0.0,22.5908203125,2060.0,1646.16650390625
29,3,175.7905650138855,244.39309354632587,1947.234375,4956.921875,15523.78515625,25250.734375,0.0,22.5908203125,2138.0,1709.4189453125
26,4,183.42413449287415,234.22217648064756,2011.640625,4787.171875,15560.984375,25213.53515625,0.0,22.5908203125,1904.0,1530.1630859375
27,4,175.93364810943604,244.19433383929118,882.9140625,4879.39453125,13516.3125,27258.20703125,0.0,22.5908203125,1996.0,1593.6650390625
28,4,177.59755516052246,241.90648323491038,882.9765625,4943.52734375,13503.33984375,27271.1796875,0.0,22.5908203125,2060.0,1646.16650390625
29,4,179.57848954200745,239.23800734469492,883.09765625,5020.05078125,13484.47265625,27290.046875,0.0,22.5908203125,2138.0,1709.4189453125
