batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
4,2,187.9700243473053,228.55771897236494,1714.734375,2908.62890625,12840.08984375,27934.4296875,0.0,23.2158203125,78.0,354.97998046875
8,2,174.2601773738861,246.5394024466206,1755.5625,3230.5859375,12951.36328125,27823.15625,0.0,22.9658203125,606.0,486.3798828125
16,2,178.41465663909912,240.79860258848817,1836.08984375,3892.3828125,12979.38671875,27795.1328125,0.0,22.9658203125,1186.0,950.39453125
32,2,169.81965899467468,252.98602207973596,1996.60546875,3308.26953125,13189.71875,27584.80078125,0.0,22.9658203125,222.0,1878.423828125
4,4,208.95506596565247,205.60401252517127,2012.109375,3180.4296875,12845.25,27929.26953125,0.0,23.2158203125,302.0,254.37255859375
8,4,190.71956968307495,225.2626726842525,2044.21875,3516.83203125,13020.26953125,27754.25,0.0,22.9658203125,606.0,486.3798828125
16,4,190.35367035865784,225.69567436788836,2108.43359375,4162.15625,13658.08984375,27116.4296875,0.0,22.9658203125,1186.0,950.39453125
32,4,174.63335800170898,246.01256307274105,2237.01953125,5451.24609375,13690.11328125,27084.40625,0.0,23.8408203125,2344.0,1878.423828125
4,6,217.91910243034363,197.14655356444723,2253.54296875,3421.8125,13693.57421875,27080.9453125,0.0,23.2158203125,302.0,254.37255859375
8,6,208.09391975402832,206.4548548596809,2285.94140625,3728.96484375,13773.95703125,27000.5625,0.0,22.9658203125,606.0,486.3798828125
16,6,202.9904227256775,211.64545313578222,2350.1328125,4374.2890625,14054.953125,26719.56640625,0.0,22.9658203125,1186.0,950.39453125
32,6,185.29864740371704,231.85274475531975,1350.96875,5663.37109375,12711.87890625,28062.640625,0.0,23.8408203125,2344.0,1878.423828125
