batch_size,num_workers,seconds,imgs_per_sec,ram_mb,vms_mb,sys_ram_used_mb,sys_ram_avail_mb,cpu_percent,cuda_alloc_mb,cuda_reserved_mb,cuda_peak_mb
16,2,20.72153306,103.6602839,1784.964844,2980.585938,18245.84375,22528.67578,0,22.59082031,90,949.1445313
32,2,22.50034356,95.46520897,1945.546875,5148.3125,18647.72266,22126.79688,0,22.59082031,2344,1877.173828
48,2,25.33609509,84.78023121,2266.679688,3683.996094,18923.87109,21850.64844,0,22.59082031,366,2805.203125
64,2,28.22877359,76.09257245,2268.058594,7771.789063,17896.875,22877.64453,0,22.59082031,4636,3733.232422
128,2,238.827827,8.993926827,3122.660156,4946.964844,18692.42188,22082.09766,0,22.59082031,938,7445.352539
16,4,28.4434979,75.51813802,2995.523438,5016.5,18538.91016,22235.60938,0,22.59082031,1184,949.1445313
32,4,28.36325622,75.73178424,3123.804688,6307.519531,18911.72656,21862.79297,0,22.59082031,2344,1877.173828
48,4,27.78323221,77.31281888,3316.066406,7646.640625,19041.39063,21733.12891,0,22.59082031,3488,2805.203125
64,4,29.26145482,73.40714989,3316.105469,8796.894531,18832.57031,21941.94922,0,22.59082031,4636,3733.232422
128,4,261.5466514,8.212684004,5690.238281,13941.16797,19823.82422,20950.69531,0,22.59082031,9260,7445.352539
16,6,37.91081381,56.65929544,3930.839844,5915.375,18012.93359,22761.58594,0,22.59082031,1184,949.1445313
32,6,35.69855762,60.17049829,4058.871094,7205.898438,18066.35547,22708.16406,0,22.59082031,2344,1877.173828
48,6,35.20343542,61.01677221,4315.121094,8608.886719,18152.96094,22621.55859,0,22.59082031,3488,2805.203125
64,6,35.25198817,60.93273348,4315.273438,9759.632813,18172.10156,22602.41797,0,22.59082031,4636,3733.232422
128,6,64.67062616,33.21446115,6491.28125,14775.6875,20117.86328,20656.65625,0,22.59082031,9260,7445.352539
16,8,46.54332709,46.1505469,4764.078125,6750.445313,18457.76172,22316.75781,0,22.59082031,1184,949.1445313
32,8,44.8469553,47.89622809,4869.84375,8041.277344,18619.23828,22155.28125,0,22.59082031,2344,1877.173828
48,8,44.44535923,48.32900526,5190.070313,9508.140625,18959.13672,21815.38281,0,22.59082031,3488,2805.203125
64,8,44.42668271,48.34932228,5190.65625,10658.89063,18774.76563,21999.75391,0,22.59082031,4636,3733.232422
128,8,74.38190103,28.87799277,7238.644531,15546.65625,20732.28125,20042.23828,0,22.59082031,9260,7445.352539
16,10,53.50702786,40.14425928,5510.992188,7521.0625,19006.08594,21768.43359,0,22.59082031,1184,949.1445313
32,10,53.47833252,40.16579984,5607.269531,8780.027344,19365.59766,21408.92188,0,22.59082031,2344,1877.173828
48,10,53.06008625,40.48240687,5763.152344,10119.14844,19545.83594,21228.68359,0,22.59082031,3488,2805.203125
64,10,52.81725764,40.6685257,5763.160156,11269.39453,19411.68359,21362.83594,0,22.59082031,4636,3733.232422
128,10,82.90521002,25.90910752,7683.164063,16028.94922,21217.53906,19556.98047,0,22.59082031,9260,7445.352539
16,12,62.58642387,34.32054217,5955.546875,8003.007813,19463.375,21311.14453,0,22.59082031,1184,949.1445313
32,12,62.99719667,34.09675531,6083.804688,9294.042969,19803.26953,20971.25,0,22.59082031,2344,1877.173828
48,12,68.50237036,31.35657918,6340.222656,10697.28516,19835.30859,20939.21094,0,22.59082031,3488,2805.203125
64,12,63.4647758,33.84554618,6340.226563,11847.53125,19723.01953,21051.5,0,22.59082031,4636,3733.232422
128,12,96.33359146,22.29751811,8452.234375,16735.33594,21783.61328,18990.90625,0,22.59082031,9260,7445.352539
16,14,76.79841352,27.96932777,6708.183594,8693.339844,20806.32031,19968.19922,0,22.59082031,1184,949.1445313
32,14,73.5337224,29.21108751,6772.507813,9983.902344,18560.92188,22213.59766,0,22.59082031,2344,1877.173828
48,14,70.04031253,30.66805276,7028.765625,11387.14453,18808.41016,21966.10938,0,22.59082031,3488,2805.203125
64,14,71.14379144,30.19237458,7028.753906,12537.35938,18817.38281,21957.13672,0,22.59082031,4636,3733.232422
128,14,102.6087508,20.93388705,8151.832031,17168.66797,20127.35547,20647.16406,0,22.59082031,9260,7445.352539
16,16,78.80360866,27.25763498,6376.523438,9159.117188,18357.28516,22417.23438,0,22.59082031,1184,949.1445313
32,16,80.11567473,26.81123272,6504.832031,10450.15234,18420.57422,22353.94531,0,22.59082031,2344,1877.173828
48,16,79.9540031,26.86544659,6760.835938,11852.85938,18658.32422,22116.19531,0,22.59082031,3488,2805.203125
64,16,80.67852831,26.62418422,6027.183594,13003.13281,17932.67188,22841.84766,0,22.59082031,4636,3733.232422
128,16,108.5712707,19.78423929,7819.25,17634.41016,19677.46094,21097.05859,0,22.59082031,9260,7445.352539
