section,william's laptop,John's laptop,Alex's laptop,,,,,,,,,,,,
CPU Specs.platform,Windows,Windows,Windows,,,,,,,,,,,,
CPU Specs.release,11,11,11,,,,,,,,,,,,
CPU Specs.processor,"Intel64 Family 6 Model 165 Stepping 2, GenuineIntel","Intel64 Family 6 Model 191 Stepping 2, GenuineIntel","Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",,,,,,,,,,,,
CPU Specs.os_bits,64bit,64bit,64bit,,,,,,,,,,,,
CPU Specs.physical_cores,6,16,12,,,,,,,,,,,,
CPU Specs.logical_cores,12,24,16,,,,,,,,,,,,
CPU Specs.cpu_freq_current_mhz,2592,2100,2200,,,,,,,,,,,,
CPU Specs.cpu_freq_max_mhz,2592,2100,2200,,,,,,,,,,,,
CPU Specs.wmi_cpu[0].Name,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,13th Gen Intel(R) Core(TM) i7-13700HX,13th Gen Intel(R) Core(TM) i7-1360P,,,,,,,,,,,,
CPU Specs.wmi_cpu[0].MaxClockSpeed,2592,2100,2200,,,,,,,,,,,,
CPU Specs.wmi_cpu[0].CurrentClockSpeed,2592,2100,2200,,,,,,,,,,,,
RAM Specs.total_gb,39.82,61.7,15.7,,,,,,,,,,,,
RAM Specs.modules[0].manufacturer,Samsung,Micron Technology,Samsung,,,,,,,,,,,,
RAM Specs.modules[0].rated_speed_mhz,3200,5600,4267,,,,,,,,,,,,
RAM Specs.modules[0].configured_speed_mhz,2933,4800,4267,,,,,,,,,,,,
RAM Specs.modules[0].capacity_gb,8,32,16,,,,,,,,,,,,
RAM Specs.modules[1].manufacturer,Crucial,Micron Technology,N/A,,,,computer one ,computer two,computer three,,,,,,
RAM Specs.modules[1].rated_speed_mhz,3200,5600,N/A,,,CPU,Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz,13th Gen Intel(R) Core(TM) i7-13700HX,13th Gen Intel(R) Core(TM) i7-1360P,,,,,,
RAM Specs.modules[1].configured_speed_mhz,2933,4800,N/A,,,base clock MHz,2592,2100,2200,,,,,,
RAM Specs.modules[1].capacity_gb,32,32,N/A,,,bost clock MHz,5000,5000,5000,,,,,,
GPU Specs[0].source,torch,torch,N/A,,,RAM,,,,,,,,,
GPU Specs[0].index,0,0,N/A,,,size (Gb),39.82,61.7,15.7,,,,,,
GPU Specs[0].name,NVIDIA GeForce RTX 2070 with Max-Q Design,NVIDIA GeForce RTX 4060 Laptop GPU,N/A,,,rated speed mhz,3200,5600,4267,,,,,,
GPU Specs[0].total_mem_gb,8,8,N/A,,,configured speed mhz,2933,4800,4267,,,,,,
GPU Specs[0].cuda_cc,7.5,8.9,N/A,,,GPU,NVIDIA GeForce RTX 2070 with Max-Q Design,NVIDIA GeForce RTX 4060 Laptop GPU,N/A,,,,,,
GPU Specs[1].source,nvidia-smi,nvidia-smi,N/A,,,CUDA Ver,7.5,8.9,,,,,,,
GPU Specs[1].index,0,0,N/A,,,bost clock MHz,2100,3105,N/A,,,,,,
GPU Specs[1].name,NVIDIA GeForce RTX 2070 with Max-Q Design,NVIDIA GeForce RTX 4060 Laptop GPU,N/A,,,VRAM,,,,,,,,,
GPU Specs[1].total_mem_mb,8192,8188,N/A,,,size Gb,8192,8188,N/A,,,,,,
GPU Specs[1].free_mem_mb,4157,6319,N/A,,,configured speed mhz,5501,8001,N/A,,,,,,
GPU Specs[1].mem_clock_current_mhz,5620,810,N/A,,,,,,,,,,,,
GPU Specs[1].graphics_clock_current_mhz,1095,390,N/A,,,,,,,,,,,,
GPU Specs[1].mem_clock_max_mhz,5501,8001,N/A,,,,,,,,,,,,
GPU Specs[1].graphics_clock_max_mhz,2100,3105,N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.total_mem_mb,Total VRAM (MB),Total VRAM (MB),N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.free_mem_mb,Free VRAM (MB),Free VRAM (MB),N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.mem_clock_current_mhz,Memory clock current (MHz),Memory clock current (MHz),N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.graphics_clock_current_mhz,Graphics clock current (MHz),Graphics clock current (MHz),N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.mem_clock_max_mhz,Memory clock max (MHz),Memory clock max (MHz),N/A,,,,,,,,,,,,
GPU Specs[1].descriptions.graphics_clock_max_mhz,Graphics clock max (MHz),Graphics clock max (MHz),N/A,,,,,,,,,,,,
Disk.disk_total_gb,952.47,1863,457.65,,,,,,,,,,,,
Disk.disk_free_gb,115.22,514.38,289.54,,,,,,,,,,,,
Python.version,"3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)]","3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]","3.13.5 | packaged by Anaconda, Inc. | (main, Jun 12 2025, 16:37:03) [MSC v.1929 64 bit (AMD64)]",,,,,,,,,,,,
